,Reaction Time,Response
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,2
10,10,3
11,11,3
12,12,3
13,13,3
14,14,3
15,15,6
16,16,8
17,17,8
18,18,8
19,19,8
20,20,12
21,21,12
22,22,12
23,23,12
24,24,18
25,25,24
26,26,24
27,27,24
28,28,26
29,29,31
30,30,50
31,31,56
32,32,55
33,33,43
34,34,33
35,35,33
36,36,40
37,37,42
38,38,36
39,39,33
40,40,35
41,41,39
42,42,43
43,43,45
44,44,47
45,45,46
46,46,50
47,47,49
48,48,52
49,49,46
50,50,40
51,51,39
52,52,35
53,53,33
54,54,33
55,55,33
56,56,34
57,57,38
58,58,40
59,59,38
60,60,34
61,61,34
62,62,34
63,63,21
64,64,13
65,65,13
66,66,13
67,67,13
68,68,12
69,69,12
70,70,12
71,71,11
72,72,12
73,73,12
74,74,12
75,75,12
76,76,12
77,77,15
78,78,19
79,79,19
80,80,25
81,81,27
82,82,27
83,83,27
84,84,25
85,85,24
86,86,24
87,87,24
88,88,24
89,89,23
90,90,23
91,91,23
92,92,20
93,93,20
94,94,22
95,95,22
96,96,22
97,97,24
98,98,24
99,99,24
100,100,24
101,101,26
102,102,26
103,103,26
104,104,25
105,105,25
106,106,25
107,107,25
108,108,25
109,109,25
110,110,25
111,111,25
112,112,25
113,113,26
114,114,27
115,115,27
116,116,27
117,117,27
118,118,29
119,119,28
120,120,29
121,121,32
122,122,35
123,123,36
124,124,36
125,125,36
126,126,33
127,127,31
128,128,31
129,129,31
130,130,31
131,131,31
132,132,31
133,133,31
134,134,31
135,135,31
136,136,31
137,137,31
138,138,31
139,139,31
140,140,31
141,141,31
142,142,31
143,143,31
144,144,31
145,145,29
146,146,29
147,147,29
148,148,29
149,149,29
150,150,31
151,151,27
152,152,28
153,153,27
154,154,27
155,155,27
156,156,32
157,157,32
158,158,32
159,159,32
160,160,32
161,161,32
162,162,35
163,163,37
164,164,37
165,165,37
166,166,37
167,167,37
168,168,41
169,169,42
170,170,42
171,171,42
172,172,42
173,173,42
174,174,42
175,175,45
176,176,47
177,177,47
178,178,49
179,179,49
180,180,50
181,181,52
182,182,54
183,183,38
184,184,9
185,185,9
186,186,9
187,187,9
188,188,9
189,189,9
190,190,9
191,191,9
192,192,13
193,193,13
194,194,13
195,195,13
196,196,13
197,197,13
198,198,13
199,199,13
200,200,13
201,201,13
202,202,13
203,203,13
204,204,13
205,205,13
206,206,13
207,207,15
208,208,15
209,209,15
210,210,15
211,211,17
212,212,20
213,213,20
214,214,20
215,215,20
216,216,20
217,217,20
218,218,20
219,219,20
220,220,20
221,221,24
222,222,24
223,223,24
224,224,25
225,225,32
226,226,35
227,227,33
228,228,33
229,229,33
230,230,33
231,231,33
232,232,33
233,233,33
234,234,33
235,235,30
236,236,28
237,237,26
238,238,26
239,239,26
240,240,26
241,241,26
242,242,27
243,243,28
244,244,28
245,245,28
246,246,28
247,247,30
248,248,30
249,249,30
250,250,30
251,251,32
252,252,0
253,253,0
254,254,0
255,255,17
256,256,19
257,257,11
258,258,3
259,259,4
260,260,5
261,261,6
262,262,8
263,263,9
264,264,9
265,265,9
266,266,9
267,267,9
268,268,9
269,269,10
270,270,10
271,271,13
272,272,13
273,273,13
274,274,13
275,275,18
276,276,20
277,277,21
278,278,25
279,279,25
280,280,25
281,281,26
282,282,26
283,283,21
284,284,21
285,285,21
286,286,21
287,287,21
288,288,21
289,289,21
290,290,20
291,291,20
292,292,20
293,293,20
294,294,20
295,295,20
296,296,20
297,297,20
298,298,20
299,299,20
300,300,20
301,301,20
302,302,20
303,303,20
304,304,20
305,305,20
306,306,17
307,307,15
308,308,14
309,309,14
310,310,14
311,311,14
312,312,14
313,313,14
314,314,14
315,315,15
316,316,17
317,317,20
318,318,24
319,319,25
320,320,23
321,321,23
322,322,23
323,323,23
324,324,23
325,325,29
326,326,30
327,327,31
328,328,31
329,329,31
330,330,31
331,331,31
332,332,21
333,333,23
334,334,23
335,335,23
336,336,23
337,337,23
338,338,23
339,339,23
340,340,23
341,341,25
342,342,26
343,343,26
344,344,26
345,345,26
346,346,26
347,347,26
348,348,30
349,349,30
350,350,31
351,351,33
352,352,33
353,353,33
354,354,33
355,355,33
356,356,33
357,357,33
358,358,33
359,359,33
360,360,33
361,361,33
362,362,36
363,363,36
364,364,36
365,365,36
366,366,36
367,367,36
368,368,36
369,369,36
370,370,36
371,371,36
372,372,36
373,373,15
374,374,12
375,375,11
376,376,12
377,377,12
378,378,12
379,379,12
380,380,12
381,381,12
382,382,12
383,383,12
384,384,12
385,385,12
386,386,12
387,387,12
388,388,12
389,389,13
390,390,14
391,391,15
392,392,15
393,393,15
394,394,15
395,395,15
396,396,15
397,397,15
398,398,15
399,399,15
400,400,15
401,401,15
402,402,15
403,403,15
404,404,15
405,405,17
406,406,20
407,407,23
408,408,23
409,409,23
410,410,23
411,411,28
412,412,30
413,413,30
414,414,30
415,415,30
416,416,30
417,417,30
418,418,30
419,419,30
420,420,30
421,421,30
422,422,30
423,423,30
424,424,23
425,425,25
426,426,21
427,427,19
428,428,17
429,429,17
430,430,17
431,431,17
432,432,17
433,433,17
434,434,17
435,435,17
436,436,17
437,437,17
438,438,17
439,439,17
440,440,17
441,441,19
442,442,20
443,443,20
444,444,17
445,445,17
446,446,17
447,447,18
448,448,19
449,449,19
450,450,19
451,451,19
452,452,19
453,453,19
454,454,19
455,455,19
456,456,19
457,457,19
458,458,19
459,459,23
460,460,23
461,461,23
462,462,22
463,463,20
464,464,21
465,465,22
466,466,23
467,467,23
468,468,23
469,469,23
470,470,23
471,471,23
472,472,23
473,473,23
474,474,23
475,475,23
476,476,24
477,477,24
478,478,24
479,479,24
480,480,24
481,481,24
482,482,24
483,483,24
484,484,24
485,485,24
486,486,25
487,487,32
488,488,32
489,489,32
490,490,32
491,491,34
492,492,34
493,493,34
494,494,34
495,495,34
496,496,18
497,497,18
498,498,18
499,499,18
500,500,18
501,501,18
502,502,17
503,503,13
504,504,13
505,505,11
506,506,9
507,507,7
508,508,7
509,509,7
510,510,7
511,511,7
512,512,7
513,513,7
514,514,7
515,515,7
516,516,7
517,517,9
518,518,12
519,519,14
520,520,14
521,521,14
522,522,15
523,523,16
524,524,16
525,525,16
526,526,16
527,527,16
528,528,18
529,529,18
530,530,18
531,531,18
532,532,18
533,533,18
534,534,18
535,535,18
536,536,18
537,537,18
538,538,19
539,539,19
540,540,19
541,541,19
542,542,19
543,543,19
544,544,19
545,545,19
546,546,23
547,547,23
548,548,22
549,549,20
550,550,20
551,551,26
552,552,26
553,553,30
554,554,29
555,555,29
556,556,29
557,557,29
558,558,29
559,559,30
560,560,31
561,561,31
562,562,31
563,563,31
564,564,31
565,565,17
566,566,10
567,567,9
568,568,9
569,569,11
570,570,11
571,571,12
572,572,12
573,573,12
574,574,12
575,575,12
576,576,12
577,577,13
578,578,14
579,579,14
580,580,22
581,581,22
582,582,22
583,583,22
584,584,25
585,585,28
586,586,28
587,587,28
588,588,30
589,589,30
590,590,31
591,591,32
592,592,32
593,593,32
594,594,32
595,595,32
596,596,32
597,597,32
598,598,32
599,599,32
600,600,32
601,601,32
602,602,32
603,603,32
604,604,31
605,605,21
606,606,20
607,607,18
608,608,19
609,609,22
610,610,22
611,611,23
612,612,23
613,613,38
614,614,41
615,615,41
616,616,41
617,617,41
618,618,41
619,619,41
620,620,41
621,621,41
622,622,41
623,623,34
624,624,25
625,625,22
626,626,16
627,627,16
628,628,16
629,629,16
630,630,16
631,631,16
632,632,16
633,633,17
634,634,19
635,635,21
636,636,16
637,637,16
638,638,16
